message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.517382])";"30";"turtlesim3.sim";"1758265775.607146487";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.512461])";"30";"turtlesim3.sim";"1758265775.590641362";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.507539])";"30";"turtlesim3.sim";"1758265775.575147730";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.502618])";"30";"turtlesim3.sim";"1758265775.559488808";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.497696])";"30";"turtlesim3.sim";"1758265775.543307532";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.517382])";"30";"turtlesim2.sim";"1758265775.538506856";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.492775])";"30";"turtlesim3.sim";"1758265775.527514313";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.512461])";"30";"turtlesim2.sim";"1758265775.523142348";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.533944])";"30";"turtlesim1.sim";"1758265775.516022851";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.487853])";"30";"turtlesim3.sim";"1758265775.511013477";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.507539])";"30";"turtlesim2.sim";"1758265775.506758353";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.529023])";"30";"turtlesim1.sim";"1758265775.499030586";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.482932])";"30";"turtlesim3.sim";"1758265775.496422650";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.502618])";"30";"turtlesim2.sim";"1758265775.491375379";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.524101])";"30";"turtlesim1.sim";"1758265775.483868407";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.478011])";"30";"turtlesim3.sim";"1758265775.480619072";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.497696])";"30";"turtlesim2.sim";"1758265775.474882601";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.519180])";"30";"turtlesim1.sim";"1758265775.467042078";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.473089])";"30";"turtlesim3.sim";"1758265775.463364128";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.492775])";"30";"turtlesim2.sim";"1758265775.458768262";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.514258])";"30";"turtlesim1.sim";"1758265775.451245233";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.468168])";"30";"turtlesim3.sim";"1758265775.447965078";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.487853])";"30";"turtlesim2.sim";"1758265775.443051811";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.509337])";"30";"turtlesim1.sim";"1758265775.435728532";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.463246])";"30";"turtlesim3.sim";"1758265775.430880835";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.482932])";"30";"turtlesim2.sim";"1758265775.426731905";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.504415])";"30";"turtlesim1.sim";"1758265775.419573733";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.458325])";"30";"turtlesim3.sim";"1758265775.415961422";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.478011])";"30";"turtlesim2.sim";"1758265775.410894549";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.499494])";"30";"turtlesim1.sim";"1758265775.403885369";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.453403])";"30";"turtlesim3.sim";"1758265775.399625994";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.473089])";"30";"turtlesim2.sim";"1758265775.395514566";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.494573])";"30";"turtlesim1.sim";"1758265775.387705634";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.448482])";"30";"turtlesim3.sim";"1758265775.384871315";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.468168])";"30";"turtlesim2.sim";"1758265775.378500119";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.489651])";"30";"turtlesim1.sim";"1758265775.371563701";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.443561])";"30";"turtlesim3.sim";"1758265775.367629121";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.484730])";"30";"turtlesim1.sim";"1758265775.364724643";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.463246])";"30";"turtlesim2.sim";"1758265775.364362640";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.438639])";"30";"turtlesim3.sim";"1758265775.350893530";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.458325])";"30";"turtlesim2.sim";"1758265775.346483945";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.479808])";"30";"turtlesim1.sim";"1758265775.340311758";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.433718])";"30";"turtlesim3.sim";"1758265775.335711627";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.453403])";"30";"turtlesim2.sim";"1758265775.330567057";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.474887])";"30";"turtlesim1.sim";"1758265775.324053618";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.428796])";"30";"turtlesim3.sim";"1758265775.320133999";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.448482])";"30";"turtlesim2.sim";"1758265775.314628992";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.469965])";"30";"turtlesim1.sim";"1758265775.308066586";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.423875])";"30";"turtlesim3.sim";"1758265775.303877491";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.443561])";"30";"turtlesim2.sim";"1758265775.298608703";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.465044])";"30";"turtlesim1.sim";"1758265775.291857804";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.418953])";"30";"turtlesim3.sim";"1758265775.287600821";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.438639])";"30";"turtlesim2.sim";"1758265775.282463788";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.460123])";"30";"turtlesim1.sim";"1758265775.275785902";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.414032])";"30";"turtlesim3.sim";"1758265775.271185669";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.433718])";"30";"turtlesim2.sim";"1758265775.266636284";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.455201])";"30";"turtlesim1.sim";"1758265775.259769438";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.028440, y=2.409111])";"30";"turtlesim3.sim";"1758265775.255461608";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.428796])";"30";"turtlesim2.sim";"1758265775.250518024";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.450280])";"30";"turtlesim1.sim";"1758265775.243446130";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.423875])";"30";"turtlesim2.sim";"1758265775.234372398";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.445358])";"30";"turtlesim1.sim";"1758265775.227217842";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.418953])";"30";"turtlesim2.sim";"1758265775.218131584";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.440437])";"30";"turtlesim1.sim";"1758265775.211432558";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.414032])";"30";"turtlesim2.sim";"1758265775.202914880";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.435515])";"30";"turtlesim1.sim";"1758265775.195384878";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.028440, y=2.409111])";"30";"turtlesim2.sim";"1758265775.185830136";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.430594])";"30";"turtlesim1.sim";"1758265775.179542112";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.425673])";"30";"turtlesim1.sim";"1758265775.163795187";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.024202, y=2.420751])";"30";"turtlesim1.sim";"1758265775.147636009";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim1.sim";"1758265697.759275977";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:248"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim3.sim";"1758265697.743016707";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:248"
"Starting turtlesim with node name /turtlesim1/sim";"20";"turtlesim1.sim";"1758265697.393982597";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle_frame.cpp:TurtleFrame:147"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim2.sim";"1758265697.392586282";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:248"
"Starting turtlesim with node name /turtlesim2/sim";"20";"turtlesim2.sim";"1758265697.380524819";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle_frame.cpp:TurtleFrame:147"
"Starting turtlesim with node name /turtlesim3/sim";"20";"turtlesim3.sim";"1758265697.389956650";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle_frame.cpp:TurtleFrame:147"
